round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,1997-09-17,PSV,Dynamo Kyiv,Netherlands,Ukraine,1,3,,,PSV Stadion,Dynamo Kyiv,1-3,51.4412669,5.468626,"PSV Stadion, Netherlands"
Group stage,1997-09-17,Sparta Prague,Parma,Czech Republic,Italy,0,0,,,Stadion Letná,,0-0,50.0997126,14.4158918,"Stadion Letná, Czech Republic"
Group stage,1997-09-17,Real Madrid,Rosenborg,Spain,Norway,4,1,,,Estadio Santiago Bernabéu,Real Madrid,4-1,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Group stage,1997-09-17,Newcastle Utd,Barcelona,England,Spain,3,2,,,St James' Park,Newcastle Utd,3-2,54.9754693,-1.6218737,"St James' Park, England"
Group stage,1997-09-17,Leverkusen,Lierse,Germany,Belgium,1,0,,,BayArena,Leverkusen,1-0,51.0381439,7.0030964,"BayArena, Germany"
Group stage,1997-09-17,Juventus,Feyenoord,Italy,Netherlands,5,1,,,Delle Alpi,Juventus,5-1,46.2617049,10.59038,"Delle Alpi, Italy"
Group stage,1997-09-17,Olympiacos,Porto,Greece,Portugal,1,0,,,OAKA Spiros Louis,Olympiacos,1-0,38.9953683,21.9877132,Greece
Group stage,1997-09-17,Sporting CP,Monaco,Portugal,France,3,0,,,José Alvalade (old),Sporting CP,3-0,39.6621648,-8.1353519,Portugal
Group stage,1997-09-17,Bayern Munich,Beşiktaş,Germany,Turkey,2,0,,,Olympiastadion,Bayern Munich,2-0,52.5145846,13.2398144,"Olympiastadion, Germany"
Group stage,1997-09-17,Košice,Manchester Utd,Slovakia,England,0,3,,,Lokomotiva Košice,Manchester Utd,0-3,48.7408259,21.2444948,"Lokomotiva Košice, Slovakia"
Group stage,1997-09-17,Paris S-G,Göteborg,France,Sweden,3,0,,,Parc des Princes,Paris S-G,3-0,48.8413634,2.2530693,"Parc des Princes, France"
Group stage,1997-09-17,Galatasaray,Dortmund,Turkey,Germany,0,1,,,Ali Sami Yen Stadyumu,Dortmund,0-1,41.103369,28.9909522,"Ali Sami Yen Stadyumu, Turkey"
Group stage,1997-10-01,Beşiktaş,Paris S-G,Turkey,France,3,1,,,BJK İnönü Stadyumu,Beşiktaş,3-1,39.294076,35.2316631,Turkey
