round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min
Group stage,2004-09-14,Valencia,Anderlecht,Spain,Belgium,2,0,,,Estadi de Mestalla,Valencia,2-0
Group stage,2004-09-14,Celtic,Barcelona,Scotland,Spain,1,3,,,Celtic Park,Barcelona,1-3
Group stage,2004-09-14,Panathinaikos,Rosenborg,Greece,Norway,2,1,,,Apostolos Nikolaidis,Panathinaikos,2-1
Group stage,2004-09-14,Porto,CSKA Moscow,Portugal,Russia,0,0,,,Estádio do Dragão,,0-0
Group stage,2004-09-14,Shakhtar,Milan,Ukraine,Italy,0,1,,,Olympiyskiy,Milan,0-1
Group stage,2004-09-14,Arsenal,PSV Eindhoven,England,Netherlands,1,0,,,Highbury,Arsenal,1-0
Group stage,2004-09-14,Inter,Werder Bremen,Italy,Germany,2,0,,,Stadio Giuseppe Meazza,Inter,2-0
Group stage,2004-09-14,Paris S-G,Chelsea,France,England,0,3,,,Parc des Princes,Chelsea,0-3
Group stage,2004-09-15,Liverpool,Monaco,England,France,2,0,,,Anfield,Liverpool,2-0
Group stage,2004-09-15,Ajax,Juventus,Netherlands,Italy,0,1,,,Amsterdam ArenA,Juventus,0-1
Group stage,2004-09-15,Leverkusen,Real Madrid,Germany,Spain,3,0,,,BayArena,Leverkusen,3-0
Group stage,2004-09-15,Maccabi Tel Aviv,Bayern Munich,Israel,Germany,0,1,,,Itztadion Ramat Gan,Bayern Munich,0-1
Group stage,2004-09-15,Lyon,Manchester Utd,France,England,2,2,,,Stade de Gerland,,2-2
Group stage,2004-09-15,La Coruña,Olympiacos,Spain,Greece,0,0,,,Estadio Municipal de Riazor,,0-0
Group stage,2004-09-15,Fenerbahçe,Sparta Prague,Turkey,Czech Republic,1,0,,,Şükrü Saracoğlu,Fenerbahçe,1-0
Group stage,2004-09-15,Roma,Dynamo Kyiv,Italy,Ukraine,0,3,,,Stadio Olimpico,Dynamo Kyiv,0-3
Group stage,2004-09-28,Real Madrid,Roma,Spain,Italy,4,2,,,Estadio Santiago Bernabéu,Real Madrid,4-2
Group stage,2004-09-28,Bayern Munich,Ajax,Germany,Netherlands,4,0,,,Olympiastadion,Bayern Munich,4-0
Group stage,2004-09-28,Olympiacos,Liverpool,Greece,England,1,0,,,Stadio Georgios Karaiskakis,Olympiacos,1-0
Group stage,2004-09-28,Manchester Utd,Fenerbahçe,England,Turkey,6,2,,,Old Trafford,Manchester Utd,6-2
Group stage,2004-09-28,Sparta Prague,Lyon,Czech Republic,France,1,2,,,Stadion Letná,Lyon,1-2
Group stage,2004-09-28,Juventus,Maccabi Tel Aviv,Italy,Israel,1,0,,,Delle Alpi,Juventus,1-0
Group stage,2004-09-28,Dynamo Kyiv,Leverkusen,Ukraine,Germany,4,2,,,Stadion Dynamo im. Valeriy Lobanovskiy,Dynamo Kyiv,4-2
Group stage,2004-09-28,Monaco,La Coruña,France,Spain,2,0,,,Stade Louis II,Monaco,2-0
Group stage,2004-09-29,Barcelona,Shakhtar,Spain,Ukraine,3,0,,,Camp Nou,Barcelona,3-0
Group stage,2004-09-29,Chelsea,Porto,England,Portugal,3,1,,,Stamford Bridge,Chelsea,3-1
Group stage,2004-09-29,PSV Eindhoven,Panathinaikos,Netherlands,Greece,1,0,,,PSV Stadion,PSV Eindhoven,1-0
